vmin_mid,median,lo68,hi68,lo95,hi95
1.444205000000000041e+02,7.062217715140312955e-31,6.941599440413376429e-31,7.196077087048077725e-31,6.810546833032216014e-31,7.288464573717060820e-31
1.452194999999999823e+02,7.053102347986573381e-31,6.924226705515488750e-31,7.183863476600867640e-31,6.746295698708002984e-31,7.286157105039753952e-31
1.460184999999999889e+02,7.053102347975858703e-31,6.924226705515488750e-31,7.183863476600867640e-31,6.746295698708002984e-31,7.286157104541730727e-31
1.468174999999999955e+02,7.052017066103370073e-31,6.923657737182054877e-31,7.181605404853763605e-31,6.733688368146445852e-31,7.286157104031334035e-31
1.476165000000000020e+02,7.047251078194408436e-31,6.917529350939568240e-31,7.177893776291093462e-31,6.695391118959338792e-31,7.272850083383509069e-31
1.484155000000000086e+02,7.047251078194408436e-31,6.917529350940595567e-31,7.177623470100276602e-31,6.695391118957824513e-31,7.272850083383509069e-31
1.492144999999999868e+02,7.009773825669294481e-31,6.602798853680800982e-31,7.152347294536918407e-31,4.682288075143151093e-31,7.237156841242657877e-31
1.500134999999999934e+02,7.009454217849041044e-31,6.602798853680800106e-31,7.151919471663062623e-31,4.546884015515249683e-31,7.237156841057096183e-31
1.508125000000000000e+02,7.007756290468285937e-31,6.585071868099010348e-31,7.151538798225166806e-31,4.400957456802868908e-31,7.237156840853667933e-31
1.516115000000000066e+02,7.003719021258812519e-31,6.468778997765327301e-31,7.147641195330164403e-31,3.920033487650172532e-31,7.231750999198143334e-31
1.524105000000000132e+02,6.999878058275938287e-31,6.398004681370586778e-31,7.140891437006093880e-31,3.492805730975899106e-31,7.227306949660991286e-31
1.532094999999999914e+02,6.998307580469555149e-31,6.294605307437592925e-31,7.140257341335452674e-31,3.364288972968675122e-31,7.227306949660991286e-31
1.540084999999999980e+02,6.947835671578358212e-31,4.461265867055766470e-31,7.114360231878885811e-31,0.000000000000000000e+00,7.206575653299259607e-31
1.548075000000000045e+02,6.925741542702981176e-31,3.374051838557288075e-31,7.099114577110311885e-31,0.000000000000000000e+00,7.200109813415655594e-31
1.556065000000000111e+02,6.910699544080044567e-31,1.596170077014800158e-31,7.084354952758449351e-31,0.000000000000000000e+00,7.196412002073853652e-31
1.564055000000000177e+02,6.869005081115314559e-31,1.902552069852190229e-32,7.066971570313540637e-31,0.000000000000000000e+00,7.181623773013501384e-31
1.572044999999999959e+02,6.852896637940574722e-31,0.000000000000000000e+00,7.054582894470238526e-31,0.000000000000000000e+00,7.177947945936094547e-31
1.580035000000000025e+02,6.664033874755098878e-31,0.000000000000000000e+00,7.041974851376470659e-31,0.000000000000000000e+00,7.173813277207365161e-31
1.588025000000000091e+02,6.396346643973298423e-31,0.000000000000000000e+00,7.036011726390250487e-31,0.000000000000000000e+00,7.168351151760959844e-31
1.596014999999999873e+02,5.984663589281827232e-31,0.000000000000000000e+00,7.034613821722093465e-31,0.000000000000000000e+00,7.168351591367858988e-31
