vmin_low,vmin_high,vmin_mid,flux
2.031470000000000198e+02,2.039459999999999980e+02,2.035465000000000089e+02,7.597181685491560219e-33
2.039459999999999980e+02,2.047450000000000045e+02,2.043455000000000155e+02,7.597181685491560219e-33
2.047450000000000045e+02,2.055440000000000111e+02,2.051444999999999936e+02,7.597181685491560219e-33
2.055440000000000111e+02,2.063429999999999893e+02,2.059435000000000002e+02,7.597181685491560219e-33
2.063429999999999893e+02,2.071419999999999959e+02,2.067425000000000068e+02,7.597181685491560219e-33
2.071419999999999959e+02,2.079410000000000309e+02,2.075415000000000134e+02,7.597181685491560219e-33
2.079410000000000309e+02,2.087400000000000091e+02,2.083405000000000200e+02,7.597181685491560219e-33
2.087400000000000091e+02,2.095390000000000157e+02,2.091394999999999982e+02,7.597181685491560219e-33
2.095390000000000157e+02,2.103380000000000223e+02,2.099385000000000332e+02,7.597181685491560219e-33
2.103380000000000223e+02,2.111370000000000005e+02,2.107375000000000114e+02,7.597181685491560219e-33
2.111370000000000005e+02,2.119360000000000070e+02,2.115364999999999895e+02,7.597181685491558851e-33
2.119360000000000070e+02,2.127350000000000136e+02,2.123355000000000246e+02,7.597181685491560219e-33
2.127350000000000136e+02,2.135340000000000202e+02,2.131345000000000027e+02,7.597181685491560219e-33
2.135340000000000202e+02,2.143330000000000268e+02,2.139335000000000377e+02,7.597181685491558851e-33
2.143330000000000268e+02,2.151320000000000050e+02,2.147325000000000159e+02,7.597181685491558851e-33
2.151320000000000050e+02,2.159310000000000116e+02,2.155314999999999941e+02,7.597181685491558851e-33
2.159310000000000116e+02,2.167299999999999898e+02,2.163305000000000007e+02,7.597181685491560219e-33
2.167299999999999898e+02,2.175290000000000248e+02,2.171295000000000073e+02,7.597181685491560219e-33
2.175290000000000248e+02,2.183280000000000314e+02,2.179285000000000423e+02,7.597181685491560219e-33
2.183280000000000314e+02,2.191270000000000095e+02,2.187275000000000205e+02,7.597181685491558851e-33
2.191270000000000095e+02,2.199260000000000161e+02,2.195264999999999986e+02,7.597181685491558851e-33
2.199260000000000161e+02,2.207250000000000227e+02,2.203255000000000337e+02,7.597181685491560219e-33
2.207250000000000227e+02,2.215240000000000009e+02,2.211245000000000118e+02,7.597181685491558851e-33
2.215240000000000009e+02,2.223230000000000359e+02,2.219235000000000184e+02,7.597181685491558851e-33
2.223230000000000359e+02,2.231220000000000425e+02,2.227225000000000250e+02,7.597181685491560219e-33
2.231220000000000425e+02,2.239210000000000207e+02,2.235215000000000316e+02,7.597181685491560219e-33
2.239210000000000207e+02,2.247200000000000273e+02,2.243205000000000382e+02,7.597181685491560219e-33
2.247200000000000273e+02,2.255190000000000055e+02,2.251195000000000164e+02,7.597181685491560219e-33
2.255190000000000055e+02,2.263180000000000121e+02,2.259184999999999945e+02,7.597181685491558851e-33
2.263180000000000121e+02,2.271170000000000471e+02,2.267175000000000296e+02,7.597181685491560219e-33
2.271170000000000471e+02,2.279160000000000252e+02,2.275165000000000362e+02,7.597181685491558851e-33
2.279160000000000252e+02,2.287150000000000318e+02,2.283155000000000427e+02,7.597181685491560219e-33
2.287150000000000318e+02,2.295140000000000100e+02,2.291145000000000209e+02,7.597181685491560219e-33
2.295140000000000100e+02,2.303130000000000166e+02,2.299134999999999991e+02,7.597181685491560219e-33
2.303130000000000166e+02,2.311120000000000232e+02,2.307125000000000341e+02,7.597181685491560219e-33
2.311120000000000232e+02,2.319110000000000014e+02,2.315115000000000123e+02,7.597181685491560219e-33
2.319110000000000014e+02,2.327099999999999795e+02,2.323104999999999905e+02,7.597181685491560219e-33
2.327099999999999795e+02,2.335089999999999861e+02,2.331094999999999686e+02,7.597181685491558851e-33
2.335089999999999861e+02,2.343079999999999927e+02,2.339085000000000036e+02,7.597181685491560219e-33
2.343079999999999927e+02,2.351069999999999709e+02,2.347074999999999818e+02,7.597181685491560219e-33
2.351069999999999709e+02,2.359059999999999775e+02,2.355064999999999600e+02,7.597181685491560219e-33
