"vmin","10MeV_0.1eV","10MeV_1eV","100MeV_0.1eV","100MeV_1eV","1000MeV_0.1eV","1000MeV_1eV"
17.461040387313936,0.,0.,1.6240070314440893e21,0.,8.888732987393557e20,1.6454257557528439e19
17.73159949064753,0.,0.,1.5448460824011213e21,0.,8.711167266139203e20,1.7139802436981608e19
18.006350911665116,0.,0.,1.4736831785758907e21,0.,8.534597764262628e20,1.7900396797095133e19
18.285359610397034,0.,0.,1.4089078436895428e21,0.,8.359021688925816e20,1.8622869561965736e19
18.568691553430373,0.,0.,1.3496378353044787e21,0.,8.18559591293724e20,1.919177132519693e19
18.856413729505523,0.,0.,1.2946859417465282e21,0.,8.014827572779389e20,1.944201285839549e19
19.148594165354513,0.,0.,1.2433258434716453e21,0.,7.846673813625204e20,1.9385035643902947e19
19.445301941784667,0.,0.,1.1950415934888524e21,0.,7.681099482519474e20,1.926953848855654e19
19.746607210011557,0.,0.,1.1496541261180435e21,0.,7.518057189050776e20,1.9227846962490925e19
20.052581208244966,0.,0.,1.1069378416952563e21,0.,7.356127200013151e20,1.9361180868578976e19
20.363296278531866,0.,0.,1.066574380106956e21,0.,7.195239797094462e20,1.963207872138726e19
20.678825883860462,0.,0.,1.0282809048676008e21,0.,7.035311294240758e20,1.997121406875471e19
20.99924462552911,0.,0.,9.91866139035512e20,0.,6.876396151278468e20,2.0346081598384706e19
21.32462826078453,0.,0.,9.571388578435275e20,0.,6.71865603438966e20,2.0742597077052285e19
21.655053720733168,0.,0.,9.240812919830716e20,0.,6.562020357810873e20,2.1153679207816233e19
21.990599128530228,0.,0.,8.92637172742475e20,0.,6.407096092050346e20,2.1575831131180737e19
22.331343817850474,0.,0.,8.624805811790874e20,0.,6.254725170259941e20,2.2007348926683357e19
22.677368351645235,0.,0.,8.334948993753523e20,0.,6.104844127405167e20,2.2446347094688285e19
23.028754541190068,0.,0.,8.055905442581064e20,0.,5.95732032428619e20,2.2892314576010506e19
23.385585465427578,0.,0.,7.786821375375116e20,0.,5.812178528731436e20,2.3345779022775968e19
23.74794549060992,0.,0.,7.526901936191145e20,0.,5.6694062989188216e20,2.3807121473671086e19
24.115920290245718,0.,0.,7.275519088702361e20,0.,5.5289707665284825e20,2.4276773895815307e19
24.489596865355956,0.,0.,7.032552365307636e20,0.,5.390846247234168e20,2.4756971311788237e19
24.8690635650439,0.,0.,6.798975915250968e20,0.,5.255013831493117e20,2.524736519939361e19
25.25441010738353,0.,0.,6.574363073228586e20,0.,5.1214608815384946e20,2.5751348275945497e19
25.64572760063193,0.,0.,6.358113626937081e20,0.,4.990180445637699e20,2.627246264011385e19
26.04310856476999,0.,0.,6.149696275954319e20,0.,4.861083409739687e20,2.68095953089199e19
26.446646953377275,0.,0.,5.948642668192696e20,0.,4.7335335041993854e20,2.7372529769908236e19
26.85643817584558,0.,0.,5.754538944301952e20,0.,4.60743654737215e20,2.795924863166196e19
27.272579119936733,0.,0.,5.567019390940409e20,0.,4.4835359854936516e20,2.858042032997132e19
27.69516817469005,0.,0.,5.3855173119498034e20,0.,4.362328338997899e20,2.9240057206967173e19
28.124305253684565,0.,0.,5.208973316261669e20,0.,4.2438457302115824e20,2.9944923825251377e19
28.56009181866183,0.,0.,5.0371412913607534e20,0.,4.128005073449908e20,3.0708656609285517e19
29.00263090351479,0.,0.,4.869846700849566e20,0.,4.014639915609503e20,3.15363244445921e19
29.452027138648113,0.,0.,4.708059599159396e20,0.,3.90377247532858e20,3.2448635389005242e19
29.908386775716394,0.,0.,4.5520598671365027e20,0.,3.7953324515368056e20,3.3455834063489077e19
30.37181771274528,0.,0.,4.401442567147362e20,0.,3.689254605819547e20,3.4580502999293596e19
30.842429519642057,0.,0.,4.255958187762141e20,0.,3.5854393118064384e20,3.584898428990877e19
31.320333464101548,0.,0.,4.115269232453978e20,0.,3.4838766116346135e20,3.7278339122992636e19
31.805642537913254,0.,0.,3.979222551540382e20,0.,3.3845219509634866e20,3.892514324144363e19
32.29847148367634,0.,0.,3.847700960778677e20,0.,3.2873295493464916e20,4.079917476012682e19
32.79893682192833,0.,0.,3.720442637037454e20,0.,3.1922580784094695e20,4.2990305408210625e19
33.30715687869446,0.,0.,3.597224743573552e20,0.,3.0992703716049335e20,4.554010801554062e19
33.82325181346352,0.,0.,3.4778724621899923e20,0.,3.0083330937012906e20,4.851078866242704e19
