material,q,mass,nbins,background,alternative,sigma_asimov,q_asimov,chi2_pearson,sigma_mc,p_value_mc
TiN,2,2,5,c,Bound,0,0,0,-inf,1
TiN,2,2,5,b,mix5,2.34263,5.48794,5.53435,2.34416,0.009535
TiN,2,2,5,b,mix25,11.5328,133.006,138.359,inf,0
TiN,2,2,5,b,Disk,44.1589,1950.01,2213.74,inf,0
TiN,2,2,5,b,Bound,0,0,0,-inf,1
TiN,2,3,5,none,mix5,0.757549,0.573881,0.579521,0.752967,0.225735
TiN,2,3,5,none,mix25,3.71963,13.8356,14.488,3.79107,7.5e-05
TiN,2,3,5,none,Disk,14.1077,199.027,231.808,inf,0
TiN,2,3,5,none,Bound,27244,7.42233e+08,1.07644e+13,inf,0
TiN,2,3,5,c,mix5,0.749742,0.562113,0.567491,0.755765,0.224895
TiN,2,3,5,c,mix25,3.68295,13.5641,14.1873,3.71902,0.0001
TiN,2,3,5,c,Disk,13.984,195.551,226.996,inf,0
TiN,2,3,5,c,Bound,27212.8,7.40538e+08,1.04799e+13,inf,0
TiN,2,3,5,b,mix5,0.701673,0.492345,0.496319,0.700925,0.241675
TiN,2,3,5,b,mix25,3.45585,11.9429,12.408,3.48076,0.00025
TiN,2,3,5,b,Disk,13.2083,174.458,198.528,inf,0
TiN,2,3,5,b,Bound,27015.3,7.29824e+08,8.84812e+12,inf,0
TiN,2,1,9,none,mix5,9.84582,96.9401,96.1729,inf,0
TiN,2,1,9,none,mix25,50.0914,2509.14,2404.32,inf,0
TiN,2,1,9,none,Disk,220.924,48807.2,38469.2,inf,0
TiN,2,1,9,none,Bound,0,0,0,-inf,1
TiN,2,1,9,c,mix5,9.84514,96.9269,96.1598,inf,0
TiN,2,1,9,c,mix25,50.0879,2508.79,2404,inf,0
TiN,2,1,9,c,Disk,220.904,48798.8,38463.9,inf,0
TiN,2,1,9,c,Bound,0,0,0,-inf,1
TiN,2,1,9,b,mix5,9.84049,96.8352,96.0692,inf,0
TiN,2,1,9,b,mix25,50.0637,2506.37,2401.73,inf,0
TiN,2,1,9,b,Disk,220.772,48740.3,38427.7,inf,0
TiN,2,1,9,b,Bound,0,0,0,-inf,1
TiN,2,2,9,none,mix5,2.4394,5.95069,6.00182,2.4387,0.00737
TiN,2,2,9,none,mix25,12.0071,144.171,150.045,inf,0
TiN,2,2,9,none,Disk,45.9925,2115.31,2400.73,inf,0
TiN,2,2,9,c,mix5,2.43697,5.93883,5.98971,2.44092,0.007325
TiN,2,2,9,c,mix25,11.9956,143.896,149.743,inf,0
TiN,2,2,9,c,Disk,45.9532,2111.69,2395.88,inf,0
TiN,2,2,9,b,mix5,2.42025,5.85762,5.90681,2.43773,0.00739
TiN,2,2,9,b,mix25,11.9168,142.011,147.67,inf,0
TiN,2,2,9,b,Disk,45.6827,2086.91,2362.72,inf,0
TiN,2,3,9,none,mix5,0.781602,0.610902,0.61688,0.777727,0.218365
TiN,2,3,9,none,mix25,3.83819,14.7317,15.422,3.79107,7.5e-05
TiN,2,3,9,none,Disk,14.5709,212.311,246.752,inf,0
TiN,2,3,9,none,Bound,27247.5,7.42425e+08,1.07644e+13,inf,0
TiN,2,3,9,c,mix5,0.773757,0.598699,0.604403,0.767692,0.221335
TiN,2,3,9,c,mix25,3.80136,14.4503,15.1101,3.8674,5.5e-05
TiN,2,3,9,c,Disk,14.4467,208.708,241.761,inf,0
TiN,2,3,9,c,Bound,27216.3,7.40729e+08,1.048e+13,inf,0
TiN,2,3,9,b,mix5,0.725375,0.52617,0.530399,0.728333,0.233205
TiN,2,3,9,b,mix25,3.57295,12.766,13.26,3.56061,0.000185
TiN,2,3,9,b,Disk,13.667,186.786,212.159,inf,0
TiN,2,3,9,b,Bound,27018.8,7.30014e+08,8.84819e+12,inf,0
