vmin_low,vmin_high,vmin_mid,flux
1.192519999999999953e+02,1.200509999999999877e+02,1.196514999999999986e+02,6.459797458333328279e+01
1.200509999999999877e+02,1.208499999999999943e+02,1.204504999999999910e+02,6.459797458333328279e+01
1.208499999999999943e+02,1.216490000000000009e+02,1.212494999999999976e+02,6.459797458333328279e+01
1.216490000000000009e+02,1.224479999999999933e+02,1.220484999999999900e+02,6.459797458333328279e+01
1.224479999999999933e+02,1.232469999999999857e+02,1.228474999999999966e+02,6.459797458333328279e+01
1.232469999999999857e+02,1.240460000000000065e+02,1.236465000000000032e+02,6.459797458333328279e+01
1.240460000000000065e+02,1.248449999999999989e+02,1.244455000000000098e+02,6.459797458333328279e+01
1.248449999999999989e+02,1.256439999999999912e+02,1.252444999999999879e+02,6.459797458333328279e+01
1.256439999999999912e+02,1.264429999999999978e+02,1.260434999999999945e+02,6.459797458333328279e+01
1.264429999999999978e+02,1.272420000000000044e+02,1.268425000000000011e+02,6.459797458333328279e+01
1.272420000000000044e+02,1.280409999999999968e+02,1.276415000000000077e+02,6.459797458333328279e+01
1.280409999999999968e+02,1.288400000000000034e+02,1.284404999999999859e+02,6.459797458333328279e+01
1.288400000000000034e+02,1.296390000000000100e+02,1.292395000000000209e+02,6.459797458333328279e+01
1.296390000000000100e+02,1.304379999999999882e+02,1.300384999999999991e+02,6.459797458333328279e+01
1.304379999999999882e+02,1.312369999999999948e+02,1.308374999999999773e+02,6.459797458333328279e+01
1.312369999999999948e+02,1.320360000000000298e+02,1.316365000000000123e+02,6.459797458333328279e+01
1.320360000000000298e+02,1.328350000000000080e+02,1.324355000000000189e+02,6.459797458333328279e+01
1.328350000000000080e+02,1.336340000000000146e+02,1.332345000000000255e+02,6.459797458333328279e+01
1.336340000000000146e+02,1.344329999999999927e+02,1.340335000000000036e+02,6.459797458333328279e+01
1.344329999999999927e+02,1.352319999999999993e+02,1.348324999999999818e+02,6.459797458333328279e+01
1.352319999999999993e+02,1.360310000000000059e+02,1.356315000000000168e+02,6.459797458333328279e+01
1.360310000000000059e+02,1.368300000000000125e+02,1.364304999999999950e+02,6.459797458333328279e+01
1.368300000000000125e+02,1.376290000000000191e+02,1.372295000000000300e+02,6.459797458333328279e+01
1.376290000000000191e+02,1.384280000000000257e+02,1.380285000000000082e+02,6.459797458333328279e+01
1.384280000000000257e+02,1.392270000000000039e+02,1.388275000000000148e+02,6.459797458333328279e+01
1.392270000000000039e+02,1.400260000000000105e+02,1.396265000000000214e+02,6.459797458333328279e+01
1.400260000000000105e+02,1.408249999999999886e+02,1.404254999999999995e+02,6.459797458333328279e+01
