"vmin","0.2–0.3 eV","0.3–0.4 eV","0.4–0.5 eV","0.5–0.6 eV","0.6–0.7 eV","0.7–0.8 eV","0.8–0.9 eV","0.9–1. eV","1.–1.1 eV"
12.652615167188273,1.141754111677472e+18,3.697379911478319e+16,3.9369602411215105e+15,6.609626625884956e+14,1.4173194056933684e+14,3.4754112339528117e+13,8.6401470800912705e+12,1.5907097663819648e+12,3.771050676468724e+10
12.81419122226893,1.331185048585131e+18,4.156274119473574e+16,4.441531114012053e+15,7.52324847142644e+14,1.635329440780409e+14,4.088429067023097e+13,1.0712358043603363e+13,2.268084630387751e+12,1.5864971728585168e+11
12.977830631148821,1.5641517632038047e+18,4.6716511598851096e+16,5.007354665143911e+15,8.551686845217071e+14,1.8823991906371603e+14,4.791439688845841e+13,1.3042123568685273e+13,3.1034324994536626e+12,3.693262777373377e+11
13.14355974320811,1.85927841311849e+18,5.251345187843024e+16,5.642459414103101e+15,9.710028239036919e+14,2.16243019819708e+14,5.597705323103342e+13,1.5686402204959883e+13,4.0982343509898545e+12,7.17809234188069e+11
13.31140524431304,2.2400966183139784e+18,5.899193586528364e+16,6.350495585174896e+15,1.1005086863201276e+15,2.4772136719065734e+14,6.5118660794720305e+13,1.8690870036500863e+13,5.234883051567918e+12,1.0960546059405405e+12
13.481394161112926,2.759594135103809e+18,6.627230972474592e+16,7.143706982534701e+15,1.245979569032116e+15,2.8326683943874956e+14,7.552394278758922e+13,2.210388579367796e+13,6.590378993610492e+12,1.6065895684208896e+12
13.653553865391995,3.4964107095348444e+18,7.44688159168018e+16,8.033383964857915e+15,1.4095213264052462e+15,3.234247379167889e+14,8.736543106793512e+13,2.6013187612271098e+13,8.065648187732942e+12,2.186526028090335e+12
13.827912078476857,4.494250829696295e+18,8.365071915552685e+16,9.025917129461198e+15,1.5923129154825292e+15,3.6850253745384306e+14,1.0074207450301858e+14,3.049188467471234e+13,9.753929245109033e+12,2.8825291781325273e+12
14.004496875700159,5.771104654118655e+18,9.394421813141483e+16,1.0133416877816758e+16,1.796598874072484e+15,4.190811549839149e+14,1.1583916515237706e+14,3.559667030323624e+13,1.1634580005900545e+13,3.6770167678533003e+12
14.183336690921374,7.356682789572125e+18,1.0553595894987592e+17,1.137376491617295e+16,2.0256901156967592e+15,4.760161628770361e+14,1.3292933377874162e+14,4.142337854880637e+13,1.3796714706091979e+13,4.604091030432901e+12
14.364460321105184,9.296476627189176e+18,1.1859299775451965e+17,1.2762293667737776e+16,2.28240195036771e+15,5.400357760446868e+14,1.5224591282291734e+14,4.805718055945034e+13,1.626715200184156e+13,5.672939949737061e+12
14.547896930958437,1.1608107897421935e+19,1.332658081018663e+17,1.4312238873532302e+16,2.569142862797817e+15,6.117627601696799e+14,1.7398920303467366e+14,5.5572314380381195e+13,1.9103295085485613e+13,6.841799487995623e+12
14.733676057626262,1.429715905582351e+19,1.4976879668728464e+17,1.6042644719361156e+16,2.889383882408827e+15,6.920926804416179e+14,1.984461135068132e+14,6.407521523979838e+13,2.2345592966442668e+13,8.172350259179248e+12
14.92182761544817,1.738540719631964e+19,1.6834751548104406e+17,1.7974832258299288e+16,3.2469920917418105e+15,7.820220655667965e+14,2.2593601124363666e+14,7.368467967038012e+13,2.6038844437752863e+13,9.685168085472494e+12
15.112381900774906,2.090290063398717e+19,1.8928365261911725e+17,2.013266262791365e+16,3.646272537983115e+15,8.826587231842416e+14,2.5681398541648972e+14,8.453302829814358e+13,3.0236928016482867e+13,1.140606488211379e+13
15.30536959684677,2.4853419554332787e+19,2.1290094847471344e+17,2.254282927653598e+16,4.092014084968465e+15,9.952329572611309e+14,2.9147438828393025e+14,9.676739985493952e+13,3.5000699003086496e+13,1.3392243126879867e+13
15.500821778734277,2.9235823828440842e+19,2.395722471559032e+17,2.5235182405787692e+16,4.589539541473114e+15,1.1211097549844858e+15,3.30354671339546e+14,1.105511681496478e+14,4.039815570643477e+13,1.5663241956112793e+13
15.698769918341913,3.4065838812821914e+19,2.697279530763075e+17,2.8243089224397884e+16,5.144760429614299e+15,1.261802015278454e+15,3.7393953652611206e+14,1.2606548186105516e+14,4.650494518876349e+13,1.8251407998671375e+13
15.899245889475733,3.934199783391792e+19,3.038662421092243e+17,3.1603834050597148e+16,5.764236787715301e+15,1.4189848960217508e+15,4.227654236912296e+14,1.4351093098962978e+14,5.340500627632015e+13,2.1194339465121617e+13
16.102281972975764,4.5045779284363395e+19,3.4256548558188314e+17,3.535906280600678e+16,6.455242435274114e+15,1.5945113623254188e+15,4.774253568346642e+14,1.6310934591500597e+14,6.119129974697321e+13,2.453422410096861e+13
16.307910861913832,5.117135551130035e+19,3.8649949550189926e+17,3.955527702346088e+16,7.22583616401951e+15,1.7904290238867558e+15,5.385741731245158e+14,1.851057362847436e+14,6.996661065735257e+13,2.8317970751573207e+13
16.516165666857887,5.770403710069041e+19,4.364564098384167e+17,4.42443831572871e+16,8.084939358732204e+15,2.0089983554829865e+15,6.069341601453571e+14,2.0977037785592662e+14,7.984441881711338e+13,3.2597526704947562e+13
